slug,diagnostic_id,body,body_positive,category,factor,question_type,matrix,negative,active
TDA-Productivity-Rating-Decision Making-65,1,We have a strong record for making smart decisions as a team.,We have a strong record for making smart decisions as a team.,Productivity,Decision Making,Rating,65,false,true
TDA-Productivity-Rating-Resources-57,1,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,Productivity,Resources,Rating,57,true,true
TDA-Productivity-Rating-Alignment-49,1,"On our team, there is a collective ownership of results.","On our team, there is a collective ownership of results.",Productivity,Alignment,Rating,49,false,true
TDA-Positivity-Rating-Values Diversity-41,1,New or controversial ideas are discouraged.,New or controversial ideas are encouraged.,Positivity,Values Diversity,Rating,41,true,true
TDA-Positivity-Rating-Camaraderie-33,1,There is a strong sense of camaraderie and belonging on our team.,There is a strong sense of camaraderie and belonging on our team.,Positivity,Camaraderie,Rating,33,,true
TDA-Positivity-Rating-Constructive Interaction-25,1,Team members criticize others behind their backs.,Team members do not criticize others behind their backs.,Positivity,Constructive Interaction,Rating,25,true,true
TDA-Positivity-Rating-Communication-17,1,“Playing politics“ is used to get one’s way on our team.,“Playing politics“ is not used to get one’s way on our team.,Positivity,Communication,Rating,17,true,true
TDA-Positivity-Rating-Trust-9,1,We are not afraid to take risks with each other.,We are not afraid to take risks with each other.,Positivity,Trust,Rating,9,,true
TDA-Positivity-Rating-Optimism-1,1,There is tremendous enthusiasm and optimism on our team.,There is tremendous enthusiasm and optimism on our team.,Positivity,Optimism,Rating,1,,true
TDA-Productivity-Rating-Team Leadership-80,1,Our team leader inspires and supports us as needed.,Our team leader inspires and supports us as needed.,Productivity,Team Leadership,Rating,80,false,true
TDA-Productivity-Rating-Decision Making-66,1,We have an inefficient decision-making process.,We have an efficient decision-making process.,Productivity,Decision Making,Rating,66,true,true
TDA-Productivity-Rating-Resources-58,1,We have adequate resources to succeed.,We have adequate resources to succeed.,Productivity,Resources,Rating,58,,true
TDA-Productivity-Rating-Alignment-50,1,There is a sense of interdependence among team members. We can count on each other.,There is a sense of interdependence among team members. We can count on each other.,Productivity,Alignment,Rating,50,,true
TDA-Productivity-Rating-Goals & Strategies-42,1,Our team is highly resilient and not easily defeated in our goals.,Our team is highly resilient and not easily defeated in our goals.,Productivity,Goals & Strategies,Rating,42,,true
TDA-Positivity-Rating-Camaraderie-34,1,We are empathetic with each other.,We are empathetic with each other.,Positivity,Camaraderie,Rating,34,,true
TDA-Positivity-Rating-Constructive Interaction-26,1,We seem to be frequently frustrated with each other.,We are not frequently frustrated with each other.,Positivity,Constructive Interaction,Rating,26,true,true
TDA-Positivity-Rating-Communication-18,1,We communicate clearly and efficiently.,We communicate clearly and efficiently.,Positivity,Communication,Rating,18,,true
TDA-Positivity-Rating-Trust-10,1,We trust each other enough to reveal our vulnerabilities at the group level.,We trust each other enough to reveal our vulnerabilities at the group level.,Positivity,Trust,Rating,10,,true
TDA-Positivity-Rating-Optimism-2,1,We bring optimism to our work together.,We bring optimism to our work together.,Positivity,Optimism,Rating,2,,true
TDA-Productivity-Rating-Team Leadership-79,1,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Productivity,Team Leadership,Rating,79,,true
TDA-Productivity-Rating-Decision Making-67,1,Our team seeks sufficient input in decision making.,Our team seeks sufficient input in decision making.,Productivity,Decision Making,Rating,67,,true
