locale,key,value
en,We have a strong record for making smart decisions as a team.,We have a strong record for making smart decisions as a team.
en,We have a strong record for making smart decisions as a team.,We have a strong record for making smart decisions as a team.
aa,We have a strong record for making smart decisions as a team.,what
ar,We have a strong record for making smart decisions as a team.,"لدينا تاريخ قوي لاتخاذ قرارات ذكية كفريق.
"
da,We have a strong record for making smart decisions as a team.,"Vi har flere gange vist, at vi træffer gode beslutninger som team."
de,We have a strong record for making smart decisions as a team.,"Wir sind dafür bekannt, als Team kluge Entscheidungen zu treffen."
el,We have a strong record for making smart decisions as a team.,Εχουμε ισχυρή παράδοση στο να παίρνουμε καλές κι εύστοχες αποφάσεις σαν Ομάδα.  
fi,We have a strong record for making smart decisions as a team.,Meillä on vahvaa näyttöä toimivasta päätöksenteosta tiiminä.
fr,We have a strong record for making smart decisions as a team.,Nous sommes réputés pour prendre des décisions judicieuses en équipe.
he,We have a strong record for making smart decisions as a team., יש לנו היסטוריה מוכחת של לקיחת החלטות נבונות כצוות. 
it,We have a strong record for making smart decisions as a team.,"Noi abbiamo dato prova diverse volte in passato di saper prendere, come team, decisioni efficaci."
ja,We have a strong record for making smart decisions as a team.,私たちには、チームとして賢明な判断をしてきたという確固たる実績があります。 
ko,We have a strong record for making smart decisions as a team.,This is a test.
nl,We have a strong record for making smart decisions as a team.,We staan als team bekend om het nemen van verstandige beslissingen.
no,We have a strong record for making smart decisions as a team.,I vårt team har vi en tradisjon for å ta gode beslutninger.
pl,We have a strong record for making smart decisions as a team.,Jako zespół wielokrotnie podejmowaliśmy trafne decyzje.
pt,We have a strong record for making smart decisions as a team.,Nós temos um sólido histórico na tomada de boas decisões em time.
ru,We have a strong record for making smart decisions as a team.,Наша команда часто принимает умные решения.
es,We have a strong record for making smart decisions as a team.,Tenemos una sólida historia de tomar decisiones inteligentes como equipo.
sv,We have a strong record for making smart decisions as a team.,Tidigare erfarenheter visar att vårt team tagit rätt beslut.
tr,We have a strong record for making smart decisions as a team.,Ekip olarak akıllı kararlar almakta güçlüyüz.
zh,We have a strong record for making smart decisions as a team.,我们一向能够以团队的方式作出明智的决定.
le,We have a strong record for making smart decisions as a team.,"This team has a strong record for making smart decisions as a team.
"
ex,We have a strong record for making smart decisions as a team.,Tenemos un sólido historial de toma de decisions inteligentes en nuestro equipo.
og,We have a strong record for making smart decisions as a team.,We have a strong record for making smart decisions in our organization.  
ft,We have a strong record for making smart decisions as a team.,We have a strong track record for making smart decisions as a family.
fx,We have a strong record for making smart decisions as a team.,Nous sommes réputés pour prendre des décisions judicieuses en équipe.
tx,We have a strong record for making smart decisions as a team.,The team has a strong record for making smart decisions.
gb,We have a strong record for making smart decisions as a team.,We have a strong record for making smart decisions as a team.
po,We have a strong record for making smart decisions as a team.,Nós temos um bom histórico relativamente à tomada de boas decisões enquanto equipa.
en,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,There is a “win/lose” mentality on the team where my gains become someone else’s losses.
en,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.
ar,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"هنالك عقلية ""الفوز والخسارة"" في الفريق، فمكاسبي تصبح خسائر شخص آخر."
da,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"Der er en vinder / taber holdning i vores team, hvor mine sejre er andres nederlag."
de,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"In unserem Team herrscht eine „Gewinner-Verlierer"" Mentalität vor, bei der mein Gewinn einen Verlust für jemand anderen bedeutet."
el,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"Υπάρχει μιά νοοτροπία ""κερδίζω / χάνει"" στην Ομάδα, δηλαδή τα οφέλη μου μεταφράζονται σε κάποιου άλλου τη χασούρα."
fi,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"Tiimissä vallitsee sellainen henki, jossa toisen voitto on toisen tappio."
fr,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"Il y a une mentalité « gagnant/perdant » dans l’équipe où si je gagne quelque chose, c’est aux dépends de quelqu’un d’autre."
he,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"יש תרבות של ""מנצח/מפסיד"" בצוות, כאשר הרווח שלי הופך להפסד של מישהו אחר."
it,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"C’è nel nostro team una mentalità «win/lose», per cui i miei successi diventano le sconfitte di qualcun altro."
ja,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,"チーム内で、ある人のためになることが、ほかの人の負担になる場合
それを「勝ち / 負け」と捉えることがあります。"
